"Player 1","Player 2","Result","Moves","Year","Opening"
"Wang Yue                                                          (2684)","Hikaru Nakamura                                                          (2749)","½-½",106,2019,"1. d4 Na6 2. e4 c6 3. Nc3 Nc7                                                                                                                Queen's Pawn Opening: Australian Defense"
"Pentala Harikrishna                                                          (2731)","Hikaru Nakamura                                                          (2741)","0-1",38,2019,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6                                                                                                                Ruy López Opening: Morphy Defense, Modern Steinitz Defense, 5.c3 Bd7 6.O-O"
"Anton Demchenko                                                          (2655)","Hikaru Nakamura                                                          (2745)","½-½",21,2019,"1. d4 d5 2. Nf3 Nf6 3. Bf4 e6                                                                                                                London System"
"Daniil Dubov                                                          (2700)","Hikaru Nakamura                                                          (2754)","0-1",64,2019,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Wesley So                                                          (2754)","Hikaru Nakamura                                                          (2754)","1-0",55,2019,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Ruy López Opening: Berlin, Rio Gambit Accepted, 5.Re1 Nd6 6.Nxe5"
"Ian Nepomniachtchi                                                          (2773)","Hikaru Nakamura                                                          (2741)","0-1",30,2019,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5                                                                                                                Giuoco Piano Game: 4.O-O Nf6"
"Vladislav Kovalev                                                          (2661)","Hikaru Nakamura                                                          (2745)","0-1",31,2019,"1. e4 c5 2. Nf3 Nc6 3. Bb5 g6                                                                                                                Sicilian Defense: Nyezhmetdinov-Rossolimo, Fianchetto Variation, 4.Bxc6"
"Aleksandr Lenderman                                                          (2637)","Hikaru Nakamura                                                          (2746)","½-½",30,2019,"1. d4 d5 2. Nf3 Nf6 3. c4 dxc4                                                                                                                Queen's Gambit Accepted: 3.Nf3 Nf6 4.e3"
"Jeffery Xiong                                                          (2672)","Hikaru Nakamura                                                          (2749)","½-½",30,2019,"1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7                                                                                                                Sicilian Defense: Canal, Main Line"
"Ian Nepomniachtchi                                                          (2775)","Hikaru Nakamura                                                          (2754)","½-½",47,2019,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5                                                                                                                Giuoco Piano Game: 4.O-O Nf6"
"Shakhriyar Mamedyarov                                                          (2764)","Hikaru Nakamura                                                          (2743)","½-½",44,2019,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Jan-Krzysztof Duda                                                          (2731)","Hikaru Nakamura                                                          (2749)","0-1",34,2019,"1. c4 Nf6 2. Nf3 e6 3. g3 d5                                                                                                                English Opening: Neo-Catalan Defense"
"Ian Nepomniachtchi                                                          (2776)","Hikaru Nakamura                                                          (2745)","½-½",93,2019,"1. e4 c6 2. Nf3 d5 3. Nc3 dxe4                                                                                                                Caro-Kann Defense: Two Knights Attack"
"Teimour Radjabov                                                          (2759)","Hikaru Nakamura                                                          (2761)","½-½",30,2019,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Magnus Carlsen                                                          (2872)","Hikaru Nakamura                                                          (2736)","1-0",30,2019,"1. d4 Nf6 2. Nf3 d5 3. Bf4 c5                                                                                                                Queen's Pawn Opening: Symmetrical Variation"
"Ding Liren                                                          (2801)","Hikaru Nakamura                                                          (2741)","½-½",43,2019,"1. c4 e5 2. g3 Nf6 3. Bg2 d5                                                                                                                English Opening: King's English Variation, 2.g3"
"Maxime Vachier-Lagrave                                                          (2775)","Hikaru Nakamura                                                          (2754)","1-0",46,2019,"1. e4 d6 2. d4 g6 3. Nf3 Bg7                                                                                                                Pirc Defense: 2.d4 g6 3.Nf3 Bg7"
"Ding Liren                                                          (2801)","Hikaru Nakamura                                                          (2741)","½-½",43,2019,"1. c4 e5 2. g3 Nf6 3. Bg2 d5                                                                                                                English Opening: King's English Variation, 2.g3"
"Magnus Carlsen                                                          (2872)","Hikaru Nakamura                                                          (2736)","1-0",30,2019,"1. d4 Nf6 2. Nf3 d5 3. Bf4 c5                                                                                                                Queen's Pawn Opening: Symmetrical Variation"
"Ian Nepomniachtchi                                                          (2776)","Hikaru Nakamura                                                          (2745)","½-½",93,2019,"1. e4 c6 2. Nf3 d5 3. Nc3 dxe4                                                                                                                Caro-Kann Defense: Two Knights Attack"
"Aleksandr Lenderman                                                          (2637)","Hikaru Nakamura                                                          (2746)","½-½",30,2019,"1. d4 d5 2. Nf3 Nf6 3. c4 dxc4                                                                                                                Queen's Gambit Accepted: 3.Nf3 Nf6 4.e3"
"Jan-Krzysztof Duda                                                          (2731)","Hikaru Nakamura                                                          (2749)","0-1",34,2019,"1. c4 Nf6 2. Nf3 e6 3. g3 d5                                                                                                                English Opening: Neo-Catalan Defense"
"Shakhriyar Mamedyarov                                                          (2764)","Hikaru Nakamura                                                          (2743)","½-½",44,2019,"1. d4 Nf6 2. c4 e6 3. Nf3 d5                                                                                                                Queen's Gambit Declined: 3.Nf3 Nf6"
"Ian Nepomniachtchi                                                          (2775)","Hikaru Nakamura                                                          (2754)","½-½",47,2019,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5                                                                                                                Giuoco Piano Game: 4.O-O Nf6"
"Jeffery Xiong                                                          (2672)","Hikaru Nakamura                                                          (2749)","½-½",30,2019,"1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7                                                                                                                Sicilian Defense: Canal, Main Line"
"Vladislav Kovalev                                                          (2661)","Hikaru Nakamura                                                          (2745)","0-1",31,2019,"1. e4 c5 2. Nf3 Nc6 3. Bb5 g6                                                                                                                Sicilian Defense: Nyezhmetdinov-Rossolimo, Fianchetto Variation, 4.Bxc6"
"Ilya Smirin                                                          (2607)","Hikaru Nakamura                                                          (2736)","0-1",46,2019,"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6                                                                                                                Ruy López Opening: Morphy Defense, Modern Steinitz Defense, 5.c4"
"Jan-Krzysztof Duda                                                          (2731)","Hikaru Nakamura                                                          (2749)","½-½",34,2019,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5                                                                                                                Giuoco Piano Game: Main Line, Giuoco Pianissimo Variation"
"David W L Howell                                                          (2685)","Hikaru Nakamura                                                          (2749)","½-½",30,2019,"1. c4 Nf6 2. Nc3 e6 3. e4 d5                                                                                                                English Opening: Mikėnas-Carls Variation, 3...d5 4.cxd5"
"Jan-Krzysztof Duda                                                          (2730)","Hikaru Nakamura                                                          (2745)","0-1",42,2019,"1. e4 g6 2. d4 Bg7 3. Nc3 c6                                                                                                                Modern Defense: Standard, Gurgenidze Defense"
"Francisco Vallejo Pons                                                          (2704)","Hikaru Nakamura                                                          (2736)","½-½",14,2019,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Ruy López Opening: Berlin, l'Hermet Variation, 6.dxe5"
"Veselin Topalov                                                          (2740)","Hikaru Nakamura                                                          (2761)","½-½",56,2019,"1. c4 e5 2. d3 Nc6 3. a3 Nf6                                                                                                                English Opening: King's English Variation"
"Wesley So                                                          (2760)","Hikaru Nakamura                                                          (2741)","½-½",18,2019,"1. d4 Nf6 2. Nf3 d5 3. c4 e6                                                                                                                Queen's Pawn Opening: Symmetrical Variation"
"Jan-Krzysztof Duda                                                          (2730)","Hikaru Nakamura                                                          (2745)","½-½",60,2019,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6                                                                                                                Ruy López Opening: Berlin, l'Hermet, Berlin Wall Defense"
